,FN,AC,CH,ET,IM,IN,FP,SP,MP
FN,0.000000,0.005025,0.004497,0.016695,0.007621,0.033042,0.012186,0.052738,0.041748
AC,0.005025,0.000000,0.007967,0.017270,0.010676,0.027571,0.012777,0.049275,0.053634
CH,0.004497,0.007967,0.000000,0.020417,0.006747,0.036111,0.016009,0.065791,0.048138
ET,0.016695,0.017270,0.020417,0.000000,0.009427,0.009463,0.003692,0.019412,0.019019
IM,0.007621,0.010676,0.006747,0.009427,0.000000,0.024185,0.009942,0.044742,0.028932
IN,0.033042,0.027571,0.036111,0.009463,0.024185,0.000000,0.012440,0.026959,0.036641
FP,0.012186,0.012777,0.016009,0.003692,0.009942,0.012440,0.000000,0.021791,0.020082
SP,0.052738,0.049275,0.065791,0.019412,0.044742,0.026959,0.021791,0.000000,0.025056
MP,0.041748,0.053634,0.048138,0.019019,0.028932,0.036641,0.020082,0.025056,0.000000
