,FN,AC,CH,ET,IM,IN,FP,SP,MP
FN,0.000000,0.004716,0.004543,0.016760,0.007591,0.035300,0.012128,0.058917,0.046185
AC,0.004716,0.000000,0.009942,0.017067,0.010891,0.027636,0.011676,0.052024,0.047815
CH,0.004543,0.009942,0.000000,0.020786,0.006883,0.040640,0.015943,0.075649,0.054271
ET,0.016760,0.017067,0.020786,0.000000,0.009461,0.011307,0.003600,0.024176,0.021885
IM,0.007591,0.010891,0.006883,0.009461,0.000000,0.026686,0.009716,0.051723,0.033467
IN,0.035300,0.027636,0.040640,0.011307,0.026686,0.000000,0.013983,0.027334,0.031449
FP,0.012128,0.011676,0.015943,0.003600,0.009716,0.013983,0.000000,0.026097,0.023525
SP,0.058917,0.052024,0.075649,0.024176,0.051723,0.027334,0.026097,0.000000,0.019934
MP,0.046185,0.047815,0.054271,0.021885,0.033467,0.031449,0.023525,0.019934,0.000000
