,FN,AC,CH,ET,IM,IN,FP,SP,MP
FN,1.000000,0.995295,0.995468,0.983380,0.992438,0.965316,0.987945,0.942785,0.954865
AC,0.995295,1.000000,0.990107,0.983078,0.989168,0.972742,0.988392,0.949306,0.953310
CH,0.995468,0.990107,1.000000,0.979429,0.993140,0.960175,0.984184,0.927142,0.947175
ET,0.983380,0.983078,0.979429,1.000000,0.990584,0.988757,0.996407,0.976114,0.978352
IM,0.992438,0.989168,0.993140,0.990584,1.000000,0.973667,0.990332,0.949592,0.967087
IN,0.965316,0.972742,0.960175,0.988757,0.973667,1.000000,0.986115,0.973036,0.969041
FP,0.987945,0.988392,0.984184,0.996407,0.990332,0.986115,1.000000,0.974240,0.976750
SP,0.942785,0.949306,0.927142,0.976114,0.949592,0.973036,0.974240,1.000000,0.980263
MP,0.954865,0.953310,0.947175,0.978352,0.967087,0.969041,0.976750,0.980263,1.000000
