,FN,AC,CH,ET,IM,IN,FP,SP,MP
FN,0.000000,0.005435,0.004465,0.017478,0.007773,0.035518,0.012378,0.058982,0.043127
AC,0.004615,0.000000,0.007871,0.018211,0.010518,0.029050,0.012949,0.056001,0.050877
CH,0.004530,0.008063,0.000000,0.021973,0.006892,0.039074,0.016893,0.074717,0.050153
ET,0.015913,0.016329,0.018861,0.000000,0.009100,0.009933,0.003680,0.019792,0.016777
IM,0.007469,0.010833,0.006602,0.009754,0.000000,0.026332,0.010038,0.047796,0.028927
IN,0.030565,0.026093,0.033147,0.008994,0.022039,0.000000,0.011797,0.027841,0.028365
FP,0.011993,0.012604,0.015125,0.003705,0.009845,0.013084,0.000000,0.023575,0.018869
SP,0.046494,0.042550,0.056865,0.019032,0.041688,0.026078,0.020007,0.000000,0.020408
MP,0.040369,0.056392,0.046122,0.021262,0.028938,0.044916,0.021296,0.029703,0.000000
