,FN,AC,CH,ET,IM,IN,FP,SP,MP
FN,0.000000,0.004728,0.004507,0.017542,0.007739,0.037674,0.012339,0.065330,0.047633
AC,0.004703,0.000000,0.010026,0.018264,0.011193,0.029190,0.012143,0.059145,0.048012
CH,0.004578,0.009859,0.000000,0.022374,0.007028,0.044257,0.016855,0.085127,0.056473
ET,0.015978,0.015870,0.019198,0.000000,0.009130,0.011823,0.003591,0.024422,0.019454
IM,0.007443,0.010589,0.006739,0.009792,0.000000,0.028848,0.009830,0.054870,0.033590
IN,0.032925,0.026083,0.037022,0.010790,0.024524,0.000000,0.013425,0.028052,0.026479
FP,0.011917,0.011209,0.015030,0.003609,0.009601,0.014540,0.000000,0.027794,0.021948
SP,0.052505,0.044903,0.066171,0.023930,0.048575,0.026617,0.024401,0.000000,0.017961
MP,0.044738,0.047617,0.052070,0.024316,0.033345,0.036418,0.025102,0.021908,0.000000
