,FN,AC,CH,ET,IM,FP,SP,MP
FN,0.000000,0.033452,0.023599,0.049391,0.110683,0.079450,0.116000,0.257623
AC,0.033452,0.000000,0.016773,0.018046,0.057602,0.039049,0.045605,0.220966
CH,0.023599,0.016773,0.000000,0.014720,0.093367,0.034670,0.053382,0.285630
ET,0.049391,0.018046,0.014720,0.000000,0.069203,0.015586,0.024606,0.283699
IM,0.110683,0.057602,0.093367,0.069203,0.000000,0.065650,0.068646,0.201768
FP,0.079450,0.039049,0.034670,0.015586,0.065650,0.000000,0.011301,0.307353
SP,0.116000,0.045605,0.053382,0.024606,0.068646,0.011301,0.000000,0.309299
MP,0.257623,0.220966,0.285630,0.283699,0.201768,0.307353,0.309299,0.000000
