,FN,AC,CH,ET,IM,FP,SP,MP
FN,1.000000,0.967101,0.976677,0.951809,0.895223,0.923624,0.890476,0.772887
AC,0.967101,1.000000,0.983367,0.982116,0.944026,0.961703,0.955419,0.801744
CH,0.976677,0.983367,1.000000,0.985387,0.910859,0.965924,0.948018,0.751541
ET,0.951809,0.982116,0.985387,1.000000,0.933137,0.984534,0.975694,0.752993
IM,0.895223,0.944026,0.910859,0.933137,1.000000,0.936459,0.933657,0.817284
FP,0.923624,0.961703,0.965924,0.984534,0.936459,1.000000,0.988762,0.735391
SP,0.890476,0.955419,0.948018,0.975694,0.933657,0.988762,1.000000,0.733961
MP,0.772887,0.801744,0.751541,0.752993,0.817284,0.735391,0.733961,1.000000
