domain,FN,AC,CH,ET,IM,IN,FP,SP,MP,total
algebra,120,47,254,66,1,0,58,30,0,576
counting_and_probability,76,46,200,107,4,0,108,43,0,584
geometry,54,39,222,42,1,0,145,71,1,575
intermediate_algebra,54,27,201,19,0,0,94,170,0,565
number_theory,93,39,236,70,4,0,93,48,0,583
prealgebra,152,53,211,117,3,0,49,5,0,590
precalculus,109,38,177,11,0,0,114,120,1,570
overall,658,289,1501,432,13,0,661,487,2,4043
