,FN,AC,CH,ET,IM,FP,SP,MP
FN,0.000000,0.032876,0.024264,0.051334,0.111338,0.085261,0.124293,0.234732
AC,0.034028,0.000000,0.017431,0.018227,0.056387,0.041816,0.049885,0.200643
CH,0.022934,0.016115,0.000000,0.014504,0.085103,0.032632,0.052145,0.242749
ET,0.047448,0.017865,0.014937,0.000000,0.065181,0.016078,0.025890,0.259250
IM,0.110027,0.058817,0.101632,0.073225,0.000000,0.069069,0.073274,0.189875
FP,0.073640,0.036283,0.036707,0.015095,0.062230,0.000000,0.010775,0.275522
SP,0.107706,0.041326,0.054620,0.023322,0.064017,0.011828,0.000000,0.265672
MP,0.280513,0.241288,0.328511,0.308149,0.213662,0.339185,0.352927,0.000000
