,FN,AC,CH,ET,IM,FP,SP,MP
FN,0.000000,0.031412,0.024180,0.050944,0.069999,0.084689,0.123280,0.096440
AC,0.032407,0.000000,0.015555,0.017858,0.042622,0.041698,0.050574,0.111704
CH,0.022868,0.014581,0.000000,0.014178,0.041105,0.032308,0.051494,0.092843
ET,0.047024,0.017502,0.014434,0.000000,0.036548,0.015933,0.025452,0.124866
IM,0.058296,0.034288,0.041589,0.034773,0.000000,0.033307,0.042901,0.124337
FP,0.072609,0.036458,0.035843,0.014971,0.029261,0.000000,0.010639,0.131753
SP,0.105294,0.041767,0.052383,0.022605,0.039966,0.011595,0.000000,0.148043
MP,0.102321,0.118448,0.111200,0.140520,0.140591,0.153175,0.179640,0.000000
