,FN,AC,CH,ET,IM,FP,SP,MP
FN,1.000000,0.968594,0.976750,0.952196,0.937867,0.924365,0.892002,0.905398
AC,0.968594,1.000000,0.985045,0.982476,0.962275,0.961676,0.954879,0.891298
CH,0.976750,0.985045,1.000000,0.985796,0.959496,0.966499,0.949387,0.903010
ET,0.952196,0.982476,0.985796,1.000000,0.964968,0.984667,0.976258,0.875734
IM,0.937867,0.962275,0.959496,0.964968,1.000000,0.969200,0.959413,0.875935
FP,0.924365,0.961676,0.966499,0.984667,0.969200,1.000000,0.988944,0.867219
SP,0.892002,0.954879,0.949387,0.976258,0.959413,0.988944,1.000000,0.848877
MP,0.905398,0.891298,0.903010,0.875734,0.875935,0.867219,0.848877,1.000000
