domain,n_problems,n_transitions,g,p_g,p_g_holm,sym_kl,p_kl,p_kl_holm
algebra,576,4066,108.4946,9.999e-05,0.00069993,0.016864,0.00029997,0.00149985
counting_and_probability,584,4334,195.0811,9.999e-05,0.00069993,0.034067,9.999e-05,0.00069993
geometry,575,3933,53.2140,9.999e-05,0.00069993,0.007175,0.0620938,0.0620938
intermediate_algebra,565,3850,81.7888,9.999e-05,0.00069993,0.008946,0.030197,0.060394
number_theory,583,3726,41.4942,9.999e-05,0.00069993,0.012144,0.00339966,0.0135986
prealgebra,590,3826,47.2017,9.999e-05,0.00069993,0.010672,0.00919908,0.0275972
precalculus,570,3835,101.5133,9.999e-05,0.00069993,0.020461,9.999e-05,0.00069993
